STABRV,totpop1990,immpop1990,pctimm1990,totpop2000,immpop2000,pctimm2000,totpop2010,immpop2010,pctimm2010,totpop2016,immpop2016,pctimm2016,det2017,det2016,det2015,det2014,det2013,det2012,det2011,det2010,det2009,det2008,det2007,avg2007_2017,tot2007_2017,rem2016,arr2015,arr2016,arr2017,arr2018,dep2007,dep2008,dep2009,dep2010,dep2011,pctchg,PopUnauth,PopUnauth2016,detainersper1kimm,det2013_2017,ici2018,ici2011,ici2009,ici18,sci_state,sci_stateusingcounty,sci_county_pop_weighted,nScrapedOrgs,legalorgsper1kimm,pctchangetot1990_2016,pctchangeimm1990_2016,pctchangetot2000_2016,pctchangeimm2000_2016,nIRXOrgs,std.IRXOrgs,nLegalEthnicOrgs,std.LegalEthnicOrgs,nEthnicOrgs,std.EthnicOrgs,metro_micro,immbydelineator,percImmMetro,det2007_2017per1kimmpop2016,avgarrests.std,totarrests.std,totarrests,avgarrests
AL,4040600,43500,0.01077393,4447100,87800,0.019736907,4785300,168600,0.03523208,4863300,163600,0.033645673,1621,996,891,1506,1440,2187,2022,1152,194,188,46,1113,12243,NA,828,790,1533,1198,1,2,3,4,1,0.819304153,55000,55000,6.803178484,23.46909091,-0.61,-109,-16,-61,-0.9381381,-0.8293965,-0.6926885,5,0.030562347,0.203612247,2.758734753,0.093589081,0.864250558,1401,8.563569682,9,0.055012225,23,0.140586797,Metropolitan Statistical Area,137612,0.818578201,7.483496333,0.019768182,0.079072727,4349,1087.25
AK,550000,24800,0.045112837,626900,37200,0.059288727,714000,49300,0.069075681,741900,57400,0.077321019,27,18,32,28,65,63,53,43,62,69,7,42.45454545,467,NA,22,11,42,24,140,172,78,173,98,-0.15625,5000,5000,0.739626227,6.8,0.06,12,0,6,0.3889111,-0.1671428,0.0351675,1,0.017421603,0.348792731,1.311759491,0.183372359,0.543287598,242,4.216027875,3,0.052264808,13,0.226480836,Metropolitan Statistical Area,40529,0.706092441,0.81358885,0.00495,0.0198,99,24.75
AZ,3665200,278200,0.075903873,5130600,656200,0.12789516,6413700,856700,0.133566905,6931100,934900,0.134882906,7016,5077,7025,9022,10531,13092,13651,17127,11695,9001,5241,9861.636364,108478,NA,7247,5406,6486,4922,50998,82786,91280,93704,56242,-0.001281139,275000,275000,10.54833283,28.12436364,-1.03,-355,-60,-103,-1.326333,-1.289212,-1.322407,21,0.022462295,0.891034064,2.360410489,0.350919536,0.424729077,1408,1.506043427,19,0.020323029,46,0.049203123,Metropolitan Statistical Area,907876,0.972913309,11.60316611,0.021873636,0.087494545,24061,6015.25
AR,2350700,24900,0.010578439,2673400,73700,0.027564151,2921600,131700,0.045066652,2988200,138600,0.046379015,997,493,620,974,1261,1963,2343,1077,393,104,210,948.6363636,10435,NA,571,480,831,685,60167,70525,71576,63343,81648,0.608064516,55000,55000,6.844418208,15.8,-0.26,-115,-22,-26,-1.28556,-1.036577,-0.865074,4,0.028860029,0.271202714,4.573330116,0.117770629,0.880743656,777,5.606060606,3,0.021645022,9,0.064935065,Metropolitan Statistical Area,110867,0.778123245,7.528860029,0.011668182,0.046672727,2567,641.75
CA,29760000,6458800,0.217030257,33871600,8864300,0.26170132,37349400,10150400,0.271769802,39250000,10677700,0.272042252,29532,15601,16766,27436,43271,64412,79498,70249,54262,49211,28315,43504.81818,478553,24982,18785,17959,20154,14214,164,312,235,155,151,0.761421925,2200000,2200000,4.074362286,12.05509091,2.9,151,33,290,-0.8502614,-0.5193933,-0.7586363,184,0.017232175,0.318884049,0.653189706,0.158786753,0.204575342,10510,0.984294371,342,0.03202937,1051,0.098429437,Metropolitan Statistical Area,10470522,0.993641109,4.481798515,0.008080909,0.032323636,71112,17778
CO,3294400,142400,0.043235266,4301300,369900,0.085998734,5049100,497100,0.098454745,5540500,544700,0.098317584,2298,1744,1738,3285,5112,5454,6507,8315,9040,6660,3807,4905.454545,53960,123,2233,2125,2545,1729,500,455,107,31,38,0.322209436,190000,190000,9.005791345,14.92315789,-0.11,-151,-25,-11,1.137544,0.8801822,0.4645459,18,0.033045713,0.681810069,2.824459048,0.288121088,0.472637421,1909,3.504681476,16,0.029373967,77,0.141362218,Metropolitan Statistical Area,488880,0.900369629,9.906370479,0.011357895,0.045431579,8632,2158
CT,3287100,279400,0.08499335,3405600,370000,0.108636012,3577100,487100,0.136178378,3576500,514100,0.143731833,383,205,200,264,595,929,957,1015,888,492,290,565.2727273,6218,8,420,486,604,380,2137,2830,1,3,2,0.915,120000,120000,1.09953847,2.745,0.38,47,10,38,0.6068652,0.5805128,0.1370275,23,0.044738378,0.088021232,0.839947312,0.050178752,0.389448248,797,1.550282046,10,0.019451469,44,0.085586462,Metropolitan Statistical Area,499195,0.971865838,1.209492317,0.0039375,0.01575,1890,472.5
DE,666200,22300,0.033437511,783600,44900,0.05729709,899800,71900,0.079873834,952100,89400,0.093891699,180,121,143,139,250,362,383,282,448,394,32,248.5454545,2734,2,208,182,220,211,10029,15026,1966,1781,1972,0.258741259,30000,30000,2.780150498,5.553333333,0.11,-15,-2,11,-0.5629141,-0.5908965,-0.6223363,6,0.067114094,0.429166517,3.013063973,0.214988515,0.990979554,282,3.154362416,2,0.022371365,13,0.14541387,Metropolitan Statistical Area,87378,1,3.058165548,0.006841667,0.027366667,821,205.25
FL,12937900,1662600,0.128505991,15982400,2670800,0.167110802,18843300,3658000,0.19412937,20612400,4236500,0.205531767,6620,3444,3555,7583,10102,13358,15492,13151,11964,8185,3939,8853.909091,97393,5882,4798,3500,6170,5278,135,161,8299,9219,9064,0.862165963,775000,775000,2.089911269,8.078451613,-0.06,-84,-15,-6,-1.495455,-1.203147,-0.9976029,55,0.012982415,0.593179541,1.54812249,0.289697879,0.586216334,5621,1.326802785,61,0.014398678,251,0.05924702,Metropolitan Statistical Area,4168818,0.986186634,2.298902396,0.006369677,0.02547871,19746,4936.5
GA,6478200,173100,0.026724333,8186500,577300,0.070515643,9712600,943000,0.097086286,10310400,1038300,0.100705591,7292,2477,3492,7244,10652,16211,16766,12642,4873,1605,1090,7667.636364,84344,6131,6248,5171,7672,6046,169,162,200,168,158,1.088201604,4.00E+05,4.00E+05,7.384798578,15.5785,-0.9,-195,-30,-90,-0.8803892,-0.7739584,-0.7053639,16,0.015409804,0.591544802,4.997435394,0.259443009,0.798649859,3230,3.110854281,19,0.018299143,72,0.06934412,Metropolitan Statistical Area,960895,0.927520046,8.123278436,0.015710625,0.0628425,25137,6284.25
